agent	soul_outcome	soul_detail	memory_outcome	memory_detail
fractal	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
fractal-alphawave	git_recovered	4b213e5e463699d50460452562429886f06e7b1e	legacy_clean	
fractal-anchor	legacy_clean		legacy_clean	
fragment	legacy_clean		legacy_clean	
fragment-alphawave	legacy_clean		legacy_clean	
fragment-anchor	legacy_clean		legacy_clean	
frame	legacy_clean		legacy_clean	
frame-aether	legacy_clean		legacy_clean	
frame-alphawave	legacy_clean		legacy_clean	
frame-anchor	legacy_clean		legacy_clean	
freefall	legacy_clean		legacy_clean	
freefall-alphawave	legacy_clean		legacy_clean	
freefall-anchor	legacy_clean		legacy_clean	
fugue	legacy_clean		legacy_clean	
fugue-alphawave	legacy_clean		legacy_clean	
fugue-anchor	legacy_clean		legacy_clean	
fulcrum	legacy_clean		legacy_clean	
fulcrum-alphawave	legacy_clean		legacy_clean	
fulcrum-anchor	legacy_clean		legacy_clean	
fuse	legacy_clean		legacy_clean	
fuse-alphawave	legacy_clean		legacy_clean	
fuse-anchor	legacy_clean		legacy_clean	
galena	legacy_clean		legacy_clean	
galena-aether	legacy_clean		legacy_clean	
galena-alphawave	legacy_clean		legacy_clean	
galena-anchor	legacy_clean		legacy_clean	
gallium	legacy_clean		legacy_clean	
gallium-alphawave	legacy_clean		legacy_clean	
gallium-anchor	legacy_clean		legacy_clean	
gambit	legacy_clean		legacy_clean	
gambit-alphawave	legacy_clean		legacy_clean	
gambit-anchor	legacy_clean		legacy_clean	
gate	legacy_clean		legacy_clean	
gate-alphawave	legacy_clean		legacy_clean	
gate-anchor	legacy_clean		legacy_clean	
gauge	legacy_clean		legacy_clean	
gauge-alphawave	legacy_clean		legacy_clean	
gauge-anchor	legacy_clean		legacy_clean	
genome	legacy_clean		legacy_clean	
genome-alphawave	legacy_clean		legacy_clean	
genome-anchor	legacy_clean		legacy_clean	
geyser	legacy_clean		legacy_clean	
geyser-aether	legacy_clean		legacy_clean	
geyser-alphawave	legacy_clean		legacy_clean	
geyser-anchor	legacy_clean		legacy_clean	
glacier	legacy_clean		legacy_clean	
glacier-alphawave	legacy_clean		legacy_clean	
glacier-anchor	legacy_clean		legacy_clean	
glint	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
glint-alphawave	legacy_clean		legacy_clean	
glint-anchor	legacy_clean		legacy_clean	
glyph	legacy_clean		legacy_clean	
glyph-alphawave	legacy_clean		legacy_clean	
glyph-anchor	legacy_clean		legacy_clean	
glyph-trace	legacy_clean		legacy_clean	
gossamer	legacy_clean		legacy_clean	
gossamer-alphawave	legacy_clean		legacy_clean	
gossamer-anchor	legacy_clean		legacy_clean	
gradient	legacy_clean		legacy_clean	
gradient-aether	legacy_clean		legacy_clean	
gradient-alphawave	legacy_clean		legacy_clean	
gradient-anchor	legacy_clean		legacy_clean	
granite	legacy_clean		legacy_clean	
granite-alphawave	legacy_clean		legacy_clean	
granite-anchor	legacy_clean		legacy_clean	
graph	legacy_clean		legacy_clean	
graph-aether	legacy_clean		legacy_clean	
graph-alphawave	legacy_clean		legacy_clean	
graph-anchor	legacy_clean		legacy_clean	
gravel	legacy_clean		legacy_clean	
gravel-alphawave	legacy_clean		legacy_clean	
gravel-anchor	legacy_clean		legacy_clean	
gravitas	legacy_clean		legacy_clean	
gravitas-aether	legacy_clean		legacy_clean	
gravitas-alphawave	legacy_clean		legacy_clean	
gravitas-anchor	legacy_clean		legacy_clean	
grid	legacy_clean		legacy_clean	
grid-alphawave	legacy_clean		legacy_clean	
grid-anchor	legacy_clean		legacy_clean	
grit	legacy_clean		legacy_clean	
grit-alphawave	legacy_clean		legacy_clean	
grit-anchor	legacy_clean		legacy_clean	
groundswell	legacy_clean		legacy_clean	
groundswell-alphawave	legacy_clean		legacy_clean	
groundswell-anchor	legacy_clean		legacy_clean	
guardian-mod	legacy_clean		legacy_clean	
halcyon	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
halcyon-alphawave	legacy_clean		legacy_clean	
halcyon-anchor	legacy_clean		legacy_clean	
halflife	legacy_clean		legacy_clean	
halflife-alphawave	legacy_clean		legacy_clean	
halflife-anchor	legacy_clean		legacy_clean	
halo	legacy_clean		legacy_clean	
halo-alphawave	legacy_clean		legacy_clean	
halo-anchor	legacy_clean		legacy_clean	
harmonic	legacy_clean		legacy_clean	
harmonic-alphawave	legacy_clean		legacy_clean	
harmonic-anchor	legacy_clean		legacy_clean	
harvest	legacy_clean		legacy_clean	
harvest-alphawave	legacy_clean		legacy_clean	
harvest-anchor	legacy_clean		legacy_clean	
haven	legacy_clean		legacy_clean	
haven-alphawave	legacy_clean		legacy_clean	
haven-anchor	legacy_clean		legacy_clean	
helix	legacy_clean		legacy_clean	
helix-aether	legacy_clean		legacy_clean	
helix-alphawave	legacy_clean		legacy_clean	
helix-anchor	legacy_clean		legacy_clean	
herald	git_recovered	da5fbcca2a4d8f94a912097c55d7b39af47a1c76	legacy_clean	
herald-alphawave	legacy_clean		legacy_clean	
herald-anchor	legacy_clean		legacy_clean	
hex	legacy_clean		legacy_clean	
hex-alphawave	legacy_clean		legacy_clean	
hex-anchor	legacy_clean		legacy_clean	
horizon	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
horizon-alphawave	git_recovered	ea25922661edec92fba11e8d682af831165bf52e	legacy_clean	
horizon-anchor	legacy_clean		legacy_clean	
hub	legacy_clean		legacy_clean	
hub-alphawave	legacy_clean		legacy_clean	
hub-anchor	legacy_clean		legacy_clean	
hue	legacy_clean		legacy_clean	
hue-aether	legacy_clean		legacy_clean	
hue-alphawave	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
hue-anchor	legacy_clean		legacy_clean	
hydra	git_recovered	241192d5a5e14055c768928e3efd926d509b423b	legacy_clean	
hydra-aether	legacy_clean		legacy_clean	
hydra-alphawave	legacy_clean		legacy_clean	
hydra-anchor	legacy_clean		legacy_clean	
iceberg	legacy_clean		legacy_clean	
iceberg-alphawave	legacy_clean		legacy_clean	
iceberg-anchor	legacy_clean		legacy_clean	
ignite	legacy_clean		legacy_clean	
ignite-aether	legacy_clean		legacy_clean	
ignite-alphawave	legacy_clean		legacy_clean	
ignite-anchor	legacy_clean		legacy_clean	
impulse	legacy_clean		legacy_clean	
impulse-alphawave	legacy_clean		legacy_clean	
